대지위치,착공예정일,실착공일,사용승인일,대지면적(㎡),건축면적(㎡),건폐율(%),연면적(㎡),용적률산정용면적(㎡),용적률(%),주용도,기타용도,위도,경도,labels
경기도 광명시 노온사동 794-3,20060316.0,20060316.0,20060526.0,353.0,170.5,48.3,170.5,170.5,48.3,제2종근린생활시설,제조업소,37.4298378,126.8517517,제2종근린생활시설
경기도 광명시 소하동 714,20060316.0,20060316.0,20060623.0,330.0,195.84,59.35,195.84,195.84,59.35,제2종근린생활시설,제조업소,37.4330188,126.895891,제2종근린생활시설
경기도 광명시 소하동 29-10,20060322.0,20060322.0,20060511.0,116.0,68.75,59.27,97.84,97.84,84.19,제2종근린생활시설,사무소,37.4506497,126.8911547,제2종근린생활시설
경기도 광명시 가학동 937-18,20060330.0,20060323.0,20060629.0,550.0,295.2,53.67,295.2,295.2,53.67,제2종근린생활시설,제조업소,37.4069286,126.8613872,제2종근린생활시설
경기도 광명시 하안동 651-1,20060303.0,20060325.0,20061229.0,890.0,620.69,69.74,4487.05,3490.92,392.24,제2종근린생활시설,제1종근린생활시설,37.46194880000001,126.877894,제2종근린생활시설
경기도 광명시 가학동 937-19,20060328.0,20060329.0,20060729.0,330.0,196.33,59.49,196.33,196.33,59.49,제2종근린생활시설,제조업소,37.4071978,126.8616007,제2종근린생활시설
경기도 광명시 가학동 496-1,20060331.0,20060330.0,20060524.0,387.0,87.57,22.63,75.0,75.0,19.38,단독주택,,37.4174945,126.851822,단독주택
경기도 광명시 옥길동 418-2,20060406.0,20060405.0,20060609.0,517.0,199.8,38.65,199.8,199.8,38.65,제2종근린생활시설,제조업소,37.4632627,126.8279661,제2종근린생활시설
경기도 광명시 광명동 419-25,20060412.0,20060413.0,20061018.0,530.0,237.5,44.81,1083.78,1083.78,204.49,공동주택,,37.4704223,126.8507588,공동주택
경기도 광명시 노온사동 577-57,20060413.0,20060413.0,20060824.0,327.0,190.12,58.14,231.62,231.62,70.83,단독주택,,37.4344098,126.8460415,단독주택
경기도 광명시 노온사동 157-17,20060413.0,20060413.0,20061106.0,330.0,197.0,59.7,197.0,197.0,59.7,단독주택,단독주택,37.4524305,126.850175,단독주택
경기도 광명시 가학동 265,20060414.0,20060414.0,20061123.0,330.0,181.09,54.88,296.61,296.61,89.88,단독주택,단독주택,37.4155732,126.858314,단독주택
경기도 광명시 가학동 265,20060414.0,20060414.0,20061121.0,330.0,195.87,59.35,195.87,195.87,59.35,단독주택,단독주택,37.4155732,126.858314,단독주택
경기도 광명시 옥길동 52-6,20080310.0,20060416.0,20080722.0,195.0,111.92,57.39,197.57,197.57,101.32,단독주택,,37.4708356,126.8399238,단독주택
경기도 광명시 광명동 575-15,20060426.0,20060417.0,20061130.0,359.0,191.36,53.3,191.36,191.36,53.3,제1종근린생활시설,소매점,37.462917,126.8520158,제1종근린생활시설
경기도 광명시 하안동 361,20060428.0,20060418.0,20060929.0,330.0,195.08,59.12,297.38,297.38,90.12,단독주택,,37.45146680000001,126.8642017,단독주택
경기도 광명시 철산동 66-8,20060405.0,20060420.0,20061214.0,475.0,282.06,59.38,1189.97,910.71,191.73,종교시설,교회,37.4864691,126.8652613,종교시설
경기도 광명시 철산동 77,20060422.0,20060422.0,20080410.0,2467.0,857.03,34.74,3185.17,1148.31,46.55,종교시설,성당,37.4853318,126.8638124,종교시설
경기도 광명시 옥길동 52-5,20060426.0,20060426.0,20060614.0,413.0,187.35,45.36,187.35,187.35,45.36,제2종근린생활시설,제조업소,37.4708895,126.8397406,제2종근린생활시설
경기도 광명시 노온사동 382-2,20060511.0,20060511.0,20060831.0,512.0,199.0,38.87,199.0,199.0,38.87,제2종근린생활시설,제조업소,37.4421765,126.8439752,제2종근린생활시설
경기도 광명시 일직동 223-22,20060511.0,20060511.0,20060616.0,232.0,72.07,31.06,72.07,72.07,31.06,단독주택,,37.4212396,126.886224,단독주택
